query,before_mean_ms,after_mean_ms,reduction_percent,before_1,before_2,before_3,after_1,after_2,after_3
Q1,0.2838000000000041,0.44346666666676055,-56.26027719054056,0.29799999999977445,0.2369000000003325,0.3164999999999054,0.7997000000000298,0.29870000000028085,0.2319999999999709
Q2,8.601866666666865,6.51299999999992,24.28387636792282,6.825399999999718,10.24200000000019,8.738200000000688,6.031699999999546,7.2304000000003725,6.276899999999841
Q3,0.1697999999999714,0.736666666666982,-333.84373773092227,0.21279999999933352,0.14159999999992579,0.15500000000065484,0.3595000000004802,0.7831999999998516,1.067300000000614
Q4,0.5931666666662446,1.9713999999997516,-232.35178420924208,1.3492999999998574,0.21749999999883585,0.21270000000004075,0.860499999998865,3.936700000000201,1.1170000000001892
Q5,277.1923333333331,275.8945666666671,0.46818274194668774,272.77440000000024,280.3189000000002,278.48369999999886,262.14110000000073,269.8683999999994,295.6742000000013
Q6,213.29889999999918,214.05279999999888,-0.35344767366343177,204.7628999999979,219.51450000000114,215.61929999999847,208.8774999999987,201.01569999999992,232.265199999998
Q7,0.3325666666678444,0.6288000000010167,-89.0748722057101,0.35610000000087894,0.4647000000004482,0.17690000000220607,0.3316000000013446,1.3208000000013271,0.23400000000037835
Q8,9.056033333332985,6.2346333333322645,31.154920660636876,12.395000000000437,7.523199999999633,7.249899999998888,10.821099999997386,3.807700000001205,4.075099999998201
Q9,440.6230666666658,460.52873333333264,-4.517617930730267,441.7332999999999,455.1286,425.0072999999975,402.63700000000244,412.43539999999484,566.5138000000006
Q10,478.7626666666668,498.9535333333333,-4.217301822475683,454.1777000000002,485.5031999999992,496.6071000000011,546.3525999999983,503.88300000000163,446.625
Q11,86.57140000000072,82.30243333333298,4.93115124240534,79.69339999999647,77.48220000000583,102.53859999999986,83.78190000000177,83.96309999999357,79.1623000000036
Q12,83.37549999999949,91.40723333333153,-9.633205597965944,83.91649999999936,84.67760000000271,81.53239999999641,82.99179999999615,88.77040000000125,102.4594999999972
Q13,161.70080000000112,150.40806666666563,6.983721375117136,167.1562000000049,154.03540000000066,163.91079999999783,154.54469999999856,148.53340000000026,148.1460999999981
Q14,468.0075666666671,429.4401333333323,8.24077132086285,477.58950000000186,479.1753000000026,447.2578999999969,449.29060000000027,400.6029999999955,438.4268000000011
Q15,175.8887333333308,172.49673333332854,1.928491914018171,175.99209999999584,181.27249999999913,170.40159999999742,181.35699999998906,168.76230000000214,167.37089999999444
